EMPLOYER_NAME,certified_positions,applications,median_annual_wage
"NARTAL SYSTEMS, INC.",1,1,120000.0
"MyStudio Academy, Inc",1,1,120000.0
Murat Durdag Insurance Agency INC,1,1,148117.0
"MultiPlan, Inc.",1,1,150758.0
JP Technologies LLC,1,1,106500.0
JNS CONSULTING LLC,1,1,92000.0
"JK Moving & Storage, Inc",1,1,106912.0
JCL Consulting LLC,1,1,109651.0
"GLOBAL DATA MART, INC.",1,1,150800.0
GLACETECH INC,1,1,127000.0
"GIVPOUR, Inc.",1,1,74000.0
"GHS Aviation Group, LLC",1,1,193502.0
"GFT Infrastructure, Inc.",1,1,90938.0
"GE ENERGY MANAGEMENT SERVICES, LLC",1,1,114600.0
GALAXY DIGITAL SERVICES LLC,1,1,115000.0
GAIT SOLUTIONS LLC,1,1,155938.0
"G&D Mobile Security America, Inc.",1,1,102576.0
"Functional Pathways of TN, LLC",1,1,120000.0
Frontier Management LLC,1,1,80000.0
"Freyr,Inc.",1,1,114000.0
Forvis Mazars LLP,1,1,90000.0
"Fortra, LLC",1,1,165000.0
Fortisview LLC,1,1,118310.0
Fors Marsh Group LLC,1,1,110669.0
"Form Energy, Inc.",1,1,147550.0
Forcelogix LLC,1,1,
"Foot Locker Corporate Services, Inc.",1,1,125000.0
"Fonteva, LLC",1,1,134888.0
"Fluidstack, Inc.",1,1,225000.0
GO8 IT Inc,1,1,118310.0
GOGREEN SOLUTIONS INC,1,1,88462.0
"GRA, Incorporated",1,1,171029.0
Global AI Mining,1,1,97698.0
"Goel and Anderson, LLC",1,1,133000.0
"Goal Group, LLC",1,1,126090.0
GlobalLogic Inc.,1,1,112466.0
Global Payment Holding Company,1,1,102569.0
"Global Healthcare Services, LLC",1,1,115939.0
Global Foods Solutions USA Inc.,1,1,202030.0
Global Environment & Technology Foundation,1,1,90000.0
Global Engineering,1,1,113500.0
"Global Behavior Therapy Associates, LLC",1,1,60070.0
GigaCloud Services Inc,1,1,99507.0
GREENBYTE TECHNOLOGIES LLC,1,1,98000.0
"Geriti, Inc.",1,1,101421.0
Genpact LLC,1,1,126090.0
Gap Inc.,1,1,164403.0
Gainwell Technologies LLC,1,1,118310.0
Gaea Group LLC,1,1,60000.0
"GUMGUM, INC.",1,1,172000.0
"GTT, LLC",1,1,101650.0
GSTATE CONSULTING LLC,1,1,88462.0
"GSS INFOTECH CT, INC",1,1,106933.0
Fluence Energy LLC,1,1,212162.0
Flexon Technologies Inc,1,1,84344.0
"Flexera Global, Inc.",1,1,93000.0
"Enternet Business Systems, Inc.",1,1,126250.0
Etekserve Inc,1,1,101421.0
"Essentia Health, Inc.",1,1,108622.0
Equitasit Inc,1,1,126090.0
"Equinix, Inc.",1,1,153088.0
Equifax Inc.,1,1,127684.0
Epsilon Data Management LLC,1,1,128294.0
Epic IT Solutions LLC,1,1,126100.0
"Environmental Systems Research Institute, Inc.",1,1,114400.0
Enterprise64,1,1,125000.0
"Ensono, Inc.",1,1,145333.0
Eversana Life Science Services LLC,1,1,130811.0
Energix EPC US LLC,1,1,165000.0
Endurance Systems LLC,1,1,250000.0
Emcoreai LLC,1,1,89000.0
"EmSi Engineering, Inc.",1,1,90938.0
Elite Tech Solute Inc,1,1,126090.0
Elite IT Solutions Inc,1,1,65957.0
Elite Business Consulting LLC,1,1,126090.0
Electrify America LLC,1,1,140000.0
"Elasticsearch, Inc.",1,1,
"Everest Global Solutions, Inc.",1,1,101421.0
Evolver LLC,1,1,197518.0
"Flatiron Dragados Constructors, Inc.",1,1,177013.0
FORGED FIBER 37 LLC,1,1,131560.0
"Flagstar Bank, NA",1,1,150758.0
Firstpick International LLC,1,1,115939.0
"First Consulting Group, LLC.",1,1,126090.0
FiniteTek Inc,1,1,101421.0
Fiduciary Investment & Risk Management Advisors LLC,1,1,93434.0
Federal Resources Corporation,1,1,89981.0
"Falcon Heating & Air Conditioning, Inc.",1,1,80000.0
Fairfax Information Systems LLC,1,1,73466.0
"Faire Wholesale, Inc.",1,1,310000.0
"FLEXIBLE FINANCE, INC.",1,1,190000.0
Excelon Solutions LLC,1,1,126090.0
"FIS Management Services, LLC",1,1,152363.0
"FIRST TEK, INC.",1,1,126090.0
FASTWATT LLC,1,1,126090.0
FAIR ISAAC CORPORATION,1,1,125176.0
"F.L. Pinto Companies, LLC",1,1,102483.0
Express Enterprize Corporation,1,1,83470.0
"Experity, Inc.",1,1,137904.0
Experis US LLC,1,1,175427.0
Exostar LLC,1,1,195510.0
"Government Scientific Source, Inc",1,1,101421.0
Graduate Management Admission Council,1,1,79934.0
"Gregory P. Luth & Associates, Inc.",1,1,130000.0
"Indelible Changes, LLC",1,1,93600.0
"Infospan, Inc.",1,1,87360.0
Information Unlimited Inc.,1,1,96990.0
"Infor (US), LLC",1,1,177250.0
Infomatics Corp,1,1,115939.0
Infocons Inc,1,1,126090.0
InfoChain Technologies Inc						,1,1,155000.0
"InfoCepts, LLC",1,1,193500.0
"Info Services, LLC",1,1,160000.0
"Infera Health, Inc.",1,1,126090.0
Inbound Partners-LLC,1,1,126090.0
InnovAccer Inc.,1,1,180000.0
InHand Networks Inc.,1,1,186667.0
"Immigrants First, PLLC.",1,1,220000.0
Identity and Access Solutions LLC,1,1,205000.0
"Idea Entity, LLC",1,1,133349.0
"Icore Infotech, Inc.",1,1,127200.0
Iconsoft Inc.,1,1,151000.0
IconicIT Systems inc,1,1,88462.0
"ITSTAC, LLC",1,1,91582.0
"ITEANS AMERICA, LLC.",1,1,131000.0
"Infovision, Inc.",1,1,114000.0
Innovative Dynamic Solutions Global Inc,1,1,120000.0
IT HUB INC,1,1,126090.0
Intensify Technologies Inc.,1,1,124717.0
"JC & ASSOCIATES, APC",1,1,108472.0
Ittechnica Inc,1,1,95784.0
Itex LLC,1,1,118560.0
"Iteris, Inc.",1,1,77678.0
Itech Consulting Group Inc,1,1,101500.0
Iquest Solutions Corp.,1,1,101421.0
Intuites LLC,1,1,126880.0
"International Title & Escrow, Inc.",1,1,111738.0
International Investing Group Inc,1,1,77106.0
"IntelliTek, Inc.",1,1,131040.0
"Inovalon, Inc. ",1,1,191562.0
Intellectt Inc,1,1,126090.0
Intel Corporation ,1,1,126090.0
"IntegrityPro Consulting, LLC",1,1,230000.0
Integration Developer Network LLC,1,1,126090.0
Insurity LLC,1,1,144251.0
"Inspire Resources, LLC",1,1,134450.0
"Insight Direct USA, Inc.",1,1,
"Inseer, Inc.",1,1,115939.0
Inrika Inc,1,1,115939.0
IT TRAILBLAZERS LLC,1,1,175427.0
IT BUSINESS MANAGEMENT SOLUTIONS INC.,1,1,106500.0
"Gusto, Inc.",1,1,255000.0
"Happy Money, Inc.",1,1,119600.0
Home Depot Management Company LLC,1,1,93358.0
Hilton Domestic Operating Company Inc.,1,1,182300.0
Highway Loss Data Institute,1,1,104027.0
"HiddenLayer, Inc.",1,1,185000.0
"Helios Artificial Intelligence, Inc.",1,1,115939.0
Healthy Labs Inc.,1,1,155000.0
"Haus Analytics, Inc.",1,1,195000.0
Harvey Nash Inc.,1,1,151840.0
Harvey AI Corporation,1,1,175427.0
"Haley & Aldrich, Inc.",1,1,100000.0
"Honest Pet, Inc.",1,1,106442.0
Hadiamondstar Software Solutions LLC,1,1,126090.0
HYPERION TECHNOLOGIES LLC,1,1,107661.0
HSF Affiliates LLC,1,1,139500.0
HITT Contracting Inc.,1,1,140000.0
HITEK STAFFING LLC,1,1,84000.0
HITECK SOLUTIONS INC.,1,1,105000.0
"HERMITAGE INFO TECH, LLC.",1,1,106912.0
"HERE North America, LLC",1,1,106442.0
"HDR Architecture, Inc.",1,1,132621.0
HomeDesign Inc,1,1,84802.0
Honeywell International Inc.,1,1,161000.0
IQVIA Digital Inc.,1,1,255000.0
IMMIGRATION LAW OFFICE OF SALEEM GONDEL ESQ LLC,1,1,74922.0
"IQLogg, Inc.",1,1,124800.0
"IP Network Solutions, Inc.",1,1,99291.0
INTEGRATED TECHNOLOGY STRATEGIES INC.,1,1,104000.0
INTALENT LLC,1,1,126100.0
INFOTECH PRISM LLC,1,1,126090.0
INFINITE GATEWAY INC.,1,1,104400.0
"INDUS VALLEY CONSULTANTS, INC.",1,1,88462.0
INDUS GROUP INC.,1,1,90000.0
"INCEDO, INC.",1,1,91582.0
IMG SYSTEMS INC,1,1,126090.0
Horizon IT Inc,1,1,126090.0
ILogixedge LLC,1,1,101421.0
"ILOGIC TEK , L.L.C",1,1,126090.0
"IDOL SOFT, INC.",1,1,155938.0
"ID.me, Inc.",1,1,139050.0
ICS Global Soft Inc,1,1,101421.0
Hyperwater Inc,1,1,126090.0
Hylan Mid-Atlantic LLC,1,1,161158.0
"HydroGeoLogic, Inc.",1,1,83803.0
"HubSpot, Inc.",1,1,165500.0
"Lasership, Inc.",1,1,102500.0
