EMPLOYER_NAME,certified_positions,applications,median_annual_wage
BEACONFIRE STAFFING SOLUTIONS INC.,3,3,91582.0
DPR Solutions Inc,3,3,94370.0
"Specialist Resources Global, Inc.",3,3,138286.0
American College of Radiology,3,3,155015.0
"Jonas Collections and Recovery, Inc.",3,3,135000.0
"BIZCLOUD ANALYTICS, INC.",3,3,115939.0
American Association of Motor Vehicle Administrators,3,3,165000.0
"Amdocs, Inc.",3,3,117000.0
"RANDSTAD DIGITAL, LLC",3,3,126110.0
"Jacobs Engineering Group, Inc.",3,3,139656.0
"Elevance Health, Inc.",3,3,182754.0
BTREE SOLUTIONS INC,3,3,126090.0
JZ Structural Consulting Inc.,3,3,90938.0
R3 TECHNOLOGY INC ,3,3,116000.0
BYTEWARE INC,3,3,150800.0
JPMorgan Chase & Co.,3,3,190400.0
TECHSPEC SOLUTIONS LLC,3,3,91582.0
Virginia University of Science & Technology Inc.,3,3,84344.0
DPR SOLUTIONS INC.,3,3,105000.0
"CrowdStrike, Inc.",3,3,166197.0
"Kaveree, Inc.",3,3,65291.0
"Energy Ventures Analysis, Inc.",3,3,121000.0
DELFERS BUSINESS SOLUTIONS INC.,3,3,120000.0
Asclepius Solutions Inc.,3,3,107120.0
Asiacom Americas Inc.,3,3,66186.0
Satsyil Corp,3,3,101500.0
"Asta CRS, Inc.",3,3,116480.0
DIZER CORP,3,3,110240.0
Anuja Ohri-Parikh DMD PC,3,3,97760.0
"MAVEN, INC.",3,3,130000.0
"Stratacent, Inc.",3,3,145392.0
Recursion Technologies INC.,3,3,118310.0
"Relevantz Technology Services, Inc.",3,3,126500.0
Staffbee Solutions Inc,3,3,124717.0
"MB IT Associates, LLC",3,3,126090.0
VMR Technologies LLC,3,3,126090.0
"Renner and Company, CPA, PC",3,3,92000.0
Vinci Education Corporation,3,3,67113.0
RAVIN IT SOLUTIONS INC,3,3,106454.0
Bechtel Infrastructure and Power Corporation,3,3,110000.0
Cvent Inc.,3,3,131859.0
"Allied Informatics, Inc.",3,3,106500.0
"Infospan Global, LLC.",3,3,91582.0
Federal Soft Systems Inc.,3,3,101421.0
QUANTADIGIT LLC.,3,3,106454.0
"SAP Labs, LLC",3,3,153000.0
SAPOT SYSTEMS INC,3,3,126090.0
Softthink Solutions Inc,3,3,126880.0
EVEREST CONSULTING GROUP INC.,3,3,104083.0
Innovative Consulting Solutions LLC,3,3,126090.0
Dataflake LLC,3,3,126090.0
"Universal System Technologies, Inc.",3,3,92000.0
"Brillio, LLC",3,3,126090.0
"Airbus Americas, Inc.",3,3,113862.0
SECUNETICS INC,3,3,105000.0
"Pyramid Consulting, Inc.",3,3,88463.0
"Advansys, Inc.",3,3,126090.0
Adobe Inc.,3,3,122990.0
Molg Inc.,3,3,115000.0
Index Analytics LLC,3,3,175427.0
"Independent Project Analysis, Inc.",3,3,93000.0
Molina Technologies LLC.,3,3,116000.0
Acetech Group Corporation,3,3,150758.0
Blue Verse Systems Corp,3,3,116500.0
Mehar Solutions Corp.,3,3,126880.0
Assyst Inc. (formerly Advanced Software Systems),3,3,126500.0
Intellisoft Technologies,3,3,97344.0
EXPEDENT CORP,3,3,104100.0
"Akamai Technologies, Inc.",3,3,124271.0
V-Soft Solutions Inc. ,3,3,126090.0
"Fiserv Solutions, LLC",2,2,128461.0
"F5, Inc.",2,2,144345.0
"Equinox IT Solutions, LLC",2,2,101421.0
"ESVEE TECHNOLOGIES, INC",2,2,108836.0
Stantec Consulting Services Inc.,2,2,96096.0
"ECS Mid-Atlantic, LLC",2,2,101650.0
Sterling Animal Care PLLC,2,2,200000.0
"Enterprise Solutions, Inc.",2,2,107276.0
Eminent Software Services,2,2,126155.0
Emonics LLC,2,2,113756.0
Seven Stars Services LLC,2,2,120640.0
"Endominance, Inc.",2,2,115939.0
"Strategic Staffing Solutions, L.C.",2,2,130645.0
FAIRFAX OPERATOR LLC,2,2,88400.0
"Solvency, Inc.",2,2,113391.0
Stier Solutions Inc.,2,2,126090.0
FORD MOTOR COMPANY,2,2,123624.0
"Ekahau, Inc.",2,2,146372.0
Fairfax County Public Schools,2,2,68073.0
Gerent LLC,2,2,145094.0
"Scepter Technologies, Inc",2,2,126880.0
"Genex Systems, LLC",2,2,102887.0
Future US LLC,2,2,115926.0
"ENTMATRIX, INC.",2,2,103760.0
GLOBAL INFORMATION TECHNOLOGY INC.,2,2,126100.0
Strategic Alpha Inc.,2,2,112046.0
Semaisim Immigration Law Office PLLC,2,2,64500.0
EXCELACOM INC,2,2,154231.0
"Softthink Solutions, Inc.",2,2,116000.0
"ENLIGHT GROWTH IT, LLC",2,2,88015.0
"Scope Infotech, Inc.",2,2,126090.0
"Fidelity Technology Group, LLC d/b/a Fidelity Investments",2,2,146804.0
"SunShare Company Holdings, LLC",2,2,154710.0
Strategic Resources International Inc,2,2,106454.0
Sunray Systems Inc,2,2,138424.0
"Stout Risius Ross, LLC",2,2,92706.0
Sriven Systems Inc,2,2,127400.0
Snikfend Inc,2,2,110500.0
"ServiceNow, Inc.",2,2,191035.0
"EZSVS USA, INC.",2,2,136530.0
First Citizens Bank and Trust Co.,2,2,169395.0
Elite IT Technologies LLC,2,2,99227.0
"Strategic Systems, Inc.",2,2,101710.0
EUREKA INFOTECH INC,2,2,113980.0
"Freyssinet, Inc. ",2,2,79412.0
Sonnick Partners LLC,2,2,120587.0
xprotean inc.,2,2,138424.0
Sasken Technologies Limited,2,2,147891.0
R2 Technologies Corporation,2,2,102024.0
MEGA DATA ANALYTICS LLC.,2,2,98500.0
"MINDPETAL SOFTWARE SOLUTIONS, LLC",2,2,105269.0
MIRACLE SOLUTIONS LLC.,2,2,114400.0
"MOBICLOUD, LLC.",2,2,108992.0
"MONGODB, INC.",2,2,162947.0
RAKS Group LLC,2,2,122200.0
"Quber, Inc.",2,2,118560.0
MAXIMUS Inc.,2,2,117728.0
Marvel Technology Solutions Inc,2,2,103760.0
"McCann Yan Holdings, Inc. ",2,2,125000.0
"McFadyen Consulting Group, Inc.",2,2,152028.0
"Qtech Consulting Group, Inc.",2,2,126090.0
Mebhaz Inc.,2,2,101421.0
"Medallia, Inc.",2,2,210250.0
"REALSOFT TECHNOLOGIES, LLC",2,2,85000.0
LussoTech LLC,2,2,101421.0
Korean Community Service Center of Greater Washington,2,2,54163.0
"LexisNexis VitalChek Network, Inc.",2,2,122891.0
"Radixlink, Inc.",2,2,124946.0
LISCR LLC,2,2,112412.0
Radiant Technologies Inc.,2,2,108845.0
LUMINAVTECH LLC,2,2,89000.0
Lakshya Technologies Inc,2,2,91582.0
RPA TECHNOLOGIES LLC,2,2,92882.0
"Lifelink Systems, Inc.",2,2,175000.0
RESOURCE INNOVATIVE TECHNOLOGIES LLC,2,2,84344.0
"RLT Technologies, Inc",2,2,102000.0
Linkwell Solutions Inc.,2,2,126090.0
Lithe Solutions Inc,2,2,129045.0
"RIVA Solutions, Inc",2,2,106933.0
"Logic Planet, Inc.",2,2,126100.0
Lorvenk Technologies LLC,2,2,117957.0
"Medical Management International, Inc.",2,2,163250.0
Menzo Technologies Corp,2,2,79612.0
"Mercatus Center, Inc.",2,2,85948.0
"Paragonix Technologies, Inc.",2,2,300000.0
"PayPal, Inc.",2,2,135398.0
Nortech North America Inc,2,2,113000.0
Parsons Transportation Group Inc.,2,2,192323.0
Northstar Technologies,2,2,135200.0
Nova Measuring Instruments Inc.,2,2,87194.0
NuSummit Cybersecurity Limited,2,2,138144.0
"PYRAMID TECHNOLOGY SOLUTIONS, INC",2,2,126090.0
"Pyramid Systems, Inc.",2,2,110536.0
Old Dominion University,2,2,81786.0
"Olsson, Inc.",2,2,95160.0
PROVIDENZ LLC,2,2,103100.0
"PROOF Management, LLC",2,2,170000.0
PRATVIK TECHNOLOGIES INC,2,2,101421.0
PIONEER CONSULTING SERVICES LLC,2,2,138424.0
"Perfect Sense, Inc.",2,2,138472.0
"Nexpro Technologies, Inc",2,2,115939.0
"New Era Technology, LLC",2,2,112799.0
"Netflix, Inc.",2,2,175427.0
"Nestlé Regional Globe Office North America, Inc.",2,2,164013.0
"Nestle Regional Globe Office North America, Inc.",2,2,163500.0
Nest Technologies Corporation,2,2,106500.0
NeST Technologies Corporation,2,2,129574.0
"Nanosoft Technologies, Inc.",2,2,101710.0
"NTT DATA Services Federal Government, LLC",2,2,129648.0
Mott MacDonald Group Inc.,2,2,120350.0
"Moody's Shared Services, Inc.",2,2,162034.0
Mitaja Corporation,2,2,104083.0
Minfy Technologies Inc,2,2,138611.0
Mindlance Inc.,2,2,132892.0
"Millennium Info Tech, Inc.",2,2,114500.0
MicroStrategy Services Corporation dba Strategy,2,2,132010.0
Ralph Lauren Corporation,2,2,159568.0
"Rare, Inc.",2,2,75617.0
Global Soft Technologies LLC,2,2,91582.0
SMK SOFT INC.,2,2,120000.0
"SS&C Technologies, Inc.",2,2,155000.0
INADEV Corporation,2,2,126090.0
"SOFTWARE EXPERTS, INC.",2,2,138665.0
INTELI PLATFORMS INC.,2,2,115087.0
INTELIROUTE TECHNOLOGIES LLC,2,2,113756.0
"INTELLECTT, INC.",2,2,176800.0
"SMB Shared Services, Inc.",2,2,139900.0
I-66 Express Mobility Partners LLC,2,2,106842.0
"SMB IT, Inc.",2,2,139425.0
IT CORPZ INC,2,2,115939.0
IT DIVISION INC.,2,2,127400.0
IT Labs Inc,2,2,116710.0
"IT MINDS, LLC.",2,2,143395.0
SIRI SOFT SYSTEMS INC,2,2,70000.0
ICloud Technologies Corp.,2,2,96490.0
I GIANTS INC.,2,2,91582.0
"KIMC U.S., Inc.",2,2,148096.0
HTC GLOBAL SERVICES INC.,2,2,137914.0
"Sapphire Software Solutions, Inc.",2,2,115300.0
Grant Thornton Advisors LLC,2,2,136080.0
Groundswell,2,2,146808.0
Guidehouse Inc.,2,2,129770.0
Gurus Infotech Inc,2,2,91717.0
