PARENT_EMPLOYER,certified_positions,filing_entities,applications,median_annual_wage
"Fidelity Technology Group, Llc D/B/A Fidelity Investments",2,1,2,146804.0
"Shoolin, Inc.",2,1,2,102752.0
"Equinox It Solutions, Llc",2,1,2,101421.0
Sriven Systems Inc,2,1,2,127400.0
Groundswell,2,1,2,146808.0
"Revolutional, Llc Fka Harmonia Holdings Group Llc",2,1,2,154000.0
"F5, Inc.",2,1,2,144345.0
"Ss&C Technologies, Inc.",2,1,2,155000.0
Job Market Training.Com Llc,2,1,2,97458.0
Guidehouse Inc.,2,1,2,129770.0
"Rare, Inc.",2,1,2,75617.0
Gurus Infotech Inc,2,1,2,91717.0
Karyo E Systems Inc,2,1,2,106454.0
Richard-Allan Scientific,2,1,2,83429.0
"Entmatrix, Inc.",2,1,2,103760.0
"Scope Infotech, Inc.",2,1,2,126090.0
Fairfax County Public Schools,2,1,2,68073.0
"Enterprise Solutions, Inc.",2,1,2,107276.0
"Eray Technologies, Llc",2,1,2,122530.0
Joe Singh & Associates Pc,2,1,2,88816.0
"Ezsvs Usa, Inc.",2,1,2,136530.0
Semaisim Immigration Law Office Pllc,2,1,2,64500.0
Excelacom Inc,2,1,2,154231.0
Sonnick Partners Llc,2,1,2,120587.0
Seven Stars Services Llc,2,1,2,120640.0
Isolve Technology Inc.,2,1,2,120370.0
Judge Technical Services Inc,2,1,2,134420.0
Global Soft Technologies Llc,2,1,2,91582.0
"Servicenow, Inc.",2,1,2,191035.0
Eureka Infotech Inc,2,1,2,113980.0
Isolve Technology Inc,2,1,2,127800.0
Global Information Technology Inc.,2,1,2,126100.0
Grant Thornton Advisors Llc,2,1,2,136080.0
"Jupiter Software Solutions, Llc.",2,1,2,126100.0
"Esvee Technologies, Inc",2,1,2,108836.0
"Johnson, Mirmiran & Thompson, Inc.",2,1,2,120389.0
"Iridium Satellite, Llc",2,1,2,177358.0
Sicl America Inc,2,1,2,109720.0
Rigil Corporation,2,1,2,83907.0
"Realsoft Technologies, Llc",2,1,2,85000.0
It Labs Inc,2,1,2,116710.0
Stier Solutions Inc.,2,1,2,126090.0
Elite It Technologies Llc,2,1,2,99227.0
Sasken Technologies Limited,2,1,2,147891.0
"It Minds, Llc.",2,1,2,143395.0
Stonegate Technologies Llc.,2,1,2,126090.0
Sar Tech Llc,2,1,2,119278.0
Siri Soft Systems Inc,2,1,2,70000.0
"Sapphire Software Solutions, Inc.",2,1,2,115300.0
Gerent Llc,2,1,2,145094.0
"Stout Risius Ross, Llc",2,1,2,92706.0
Htc Global Services Inc.,2,1,2,137914.0
"Ekahau, Inc.",2,1,2,146372.0
Strategic Alpha Inc.,2,1,2,112046.0
"Softthink Solutions, Inc.",2,1,2,116000.0
"Genex Systems, Llc",2,1,2,102887.0
International Solutions Group Inc,2,1,2,192473.0
"Savi Technologies, Inc",2,2,2,113756.0
"Scepter Technologies, Inc",2,1,2,126880.0
Sbhr Llc.,2,1,2,77106.0
Fairfax Operator Llc,2,1,2,88400.0
Hcl Global Systems Inc,2,1,2,138424.0
Scalian Corporation,2,1,2,95000.0
"Software Experts, Inc.",2,1,2,138665.0
Ford Motor Company,2,1,2,123624.0
Healthedge Software,2,1,2,138620.0
It Corpz Inc,2,1,2,115939.0
"Enlight Growth It, Llc",2,1,2,88015.0
It Division Inc.,2,1,2,127400.0
Stantec Consulting Services Inc.,2,1,2,96096.0
Healthpro Heritage Llc,2,1,2,97739.0
Intrafi Llc,2,1,2,192094.0
Emonics Llc,2,1,2,113756.0
Eminent Software Services,2,1,2,126155.0
Sterling Animal Care Pllc,2,1,2,200000.0
"Smb It, Inc.",2,1,2,139425.0
"Endominance, Inc.",2,1,2,115939.0
"Demeter Analytics Services, Llc",2,1,2,172000.0
Pioneer Consulting Services Llc,2,1,2,138424.0
Pistos It Services Llc,2,2,2,113756.0
"Mobicloud, Llc.",2,1,2,108992.0
Black & Veatch Corporation,2,1,2,137727.0
"Bj'S Wholesale Club, Inc.",2,1,2,133030.0
"Biologics Consulting Group, Inc.",2,1,2,162500.0
"Mongodb, Inc.",2,1,2,162947.0
Up2Date Technologies Llc,2,1,2,126090.0
"Moody'S Shared Services, Inc.",2,1,2,162034.0
Bean Infosystems Llc,2,1,2,115939.0
Beacon Hill Solutions Group Llc,2,1,2,100880.0
Urgent.Ly,2,1,2,207400.0
Bayer Healthcare Llc,2,1,2,183587.0
Mott Macdonald Group Inc.,2,1,2,120350.0
Bank Of America N.A.,2,1,2,148000.0
"B1 It Solutions, Inc",2,1,2,128606.0
Mega Data Analytics Llc.,2,1,2,98500.0
Axle It Inc.,2,1,2,124800.0
Axle Informatics,2,1,2,103250.0
"Valuepro, Inc",2,1,2,126090.0
"Nanosoft Technologies, Inc.",2,1,2,101710.0
Augusta It Solutions Llc,2,1,2,101421.0
August It Llc,2,1,2,108836.0
Augmentare Inc,2,1,2,108680.0
Vejars Technologies Inc,2,1,2,126090.0
"Persistent Systems, Inc.",2,1,2,144408.0
"Ventois, Inc",2,1,2,126090.0
"Astute Engineering, Pllc",2,1,2,96855.0
Astor & Sanders Corporation,2,1,2,153082.0
"Verato, Inc.",2,1,2,146868.0
"Perfect Sense, Inc.",2,1,2,138472.0
"Bluecore, Inc.",2,1,2,160000.0
"Bode Cellmark Forensics, Inc.",2,1,2,75153.0
Mitaja Corporation,2,1,2,104083.0
Miracle Solutions Llc.,2,1,2,114400.0
Menzo Technologies Corp,2,1,2,79612.0
"Mercatus Center, Inc.",2,1,2,85948.0
Centraprise Corp,2,1,2,126090.0
"Tiger Analytics, Inc.",2,1,2,162750.0
Tiltify Inc,2,1,2,100000.0
Tios Capital Llc,2,1,2,140000.0
"Carollo Engineers, Inc.",2,1,2,108444.0
Pratvik Technologies Inc,2,1,2,101421.0
Carahsoft Technology Corp.,2,1,2,78000.0
