PARENT_EMPLOYER,certified_positions,filing_entities,applications,median_annual_wage
"Northern Virginia Oral & Maxillofacial Surgery Associates, Pc",1,1,1,196061.0
Northern Virginia Juvenile Detention Commission,1,1,1,73478.0
Northeastern University,1,1,1,82888.0
Nokia Of America Corporation,1,1,1,151111.0
"Noesys, Inc",1,1,1,91582.0
"Noblesoft Solutions, Inc.",1,1,1,115940.0
"Nartal Systems, Inc.",1,1,1,120000.0
Napa Analytics Llc,1,1,1,151000.0
Mythri Consulting Llc,1,1,1,126090.0
Mep Designs Inc,1,1,1,95000.0
"Metropolis Employee Services, Llc",1,1,1,143395.0
Metrix It Solutions Inc,1,1,1,126090.0
"Metanoia Solutions, Inc.",1,1,1,126090.0
Metahorizon Inc.,1,1,1,88462.0
Meta It Systems Llc,1,1,1,106912.0
"Merp Systems, Inc.",1,1,1,106460.0
"Meridian Software Solutions, Inc.",1,1,1,91600.0
"Mercury Intermedia, Inc.",1,1,1,101421.0
"Mercury Insurance Services, Llc",1,1,1,170872.0
Mega Glass Llc,1,1,1,108451.0
"Mystudio Academy, Inc",1,1,1,120000.0
"Meerutech, Llc",1,1,1,130000.0
Medlaunch Concepts Llc,1,1,1,101421.0
"Medidata Solutions, Inc.",1,1,1,136000.0
Mcsquared Ai Llc,1,1,1,98000.0
Mcleod Health,1,1,1,146600.0
Mckesson Corporation,1,1,1,345000.0
"Mckenna & Associates, Llc",1,1,1,148096.0
Mayer Brown Llp,1,1,1,435000.0
"Maxsa Innovations, Llc",1,1,1,72000.0
Metta Montessori School Llc.,1,1,1,55930.0
Mga Entertainment Inc.,1,1,1,260000.0
"Mi Softech, Inc",1,1,1,126090.0
"Michael W. Sim & Company, P.C.",1,1,1,88816.0
Murat Durdag Insurance Agency Inc,1,1,1,148117.0
Multivision Llc,1,1,1,126090.0
"Multiplan, Inc.",1,1,1,150758.0
"Mtx Group, Inc.",1,1,1,142800.0
Mtfa Architecture Pllc,1,1,1,78000.0
"Moveplan Usa, Inc.",1,1,1,82451.0
Mosaic Design & Build Llc,1,1,1,75000.0
"Moody'S Analytics, Inc.",1,1,1,105667.0
"Moneygram International, Inc.",1,1,1,155000.0
"Mntn, Inc.",1,1,1,220000.0
Mlu Corporation,1,1,1,73600.0
Ml Technologies Llc.,1,1,1,104083.0
Miruvor Llc,1,1,1,163363.0
"Mine Vision Holdings, Inc.",1,1,1,106000.0
"Mindpros, Inc.",1,1,1,126100.0
Mightycause Corporation,1,1,1,126090.0
"Midwest Veterinary Partners, Llc, D/B/A Clarendon Animal Care North",1,1,1,140000.0
Microstrategy Services Corporation,1,1,1,140000.0
Michigan Public Health Institute,1,1,1,102100.0
Iquest Solutions Corp.,1,1,1,101421.0
"Ip Network Solutions, Inc.",1,1,1,99291.0
"Ellipsis Health, Inc. ",1,1,1,260000.0
"Fluidstack, Inc.",1,1,1,225000.0
Forvis Mazars Llp,1,1,1,90000.0
"Fortra, Llc",1,1,1,165000.0
Fortisview Llc,1,1,1,118310.0
Fors Marsh Group Llc,1,1,1,110669.0
"Form Energy, Inc.",1,1,1,147550.0
Forged Fiber 37 Llc,1,1,1,131560.0
Forcelogix Llc,1,1,1,
"Foot Locker Corporate Services, Inc.",1,1,1,125000.0
"Fonteva, Llc",1,1,1,134888.0
Fluence Energy Llc,1,1,1,212162.0
Frontier Management Llc,1,1,1,80000.0
Flexon Technologies Inc,1,1,1,84344.0
"Flexible Finance, Inc.",1,1,1,190000.0
"Flexera Global, Inc.",1,1,1,93000.0
"Flatiron Dragados Constructors, Inc.",1,1,1,177013.0
"Flagstar Bank, Na",1,1,1,150758.0
"Fis Management Services, Llc",1,1,1,152363.0
Firstpick International Llc,1,1,1,115939.0
"First Tek, Inc.",1,1,1,126090.0
"First Consulting Group, Llc.",1,1,1,126090.0
"Freyr,Inc.",1,1,1,114000.0
"Functional Pathways Of Tn, Llc",1,1,1,120000.0
Fiduciary Investment & Risk Management Advisors Llc,1,1,1,93434.0
Gigacloud Services Inc,1,1,1,99507.0
"Global Healthcare Services, Llc",1,1,1,115939.0
Global Foods Solutions Usa Inc.,1,1,1,202030.0
Global Environment & Technology Foundation,1,1,1,90000.0
Global Engineering,1,1,1,113500.0
"Global Data Mart, Inc.",1,1,1,150800.0
"Global Behavior Therapy Associates, Llc",1,1,1,60070.0
Global Ai Mining,1,1,1,97698.0
Glacetech Inc,1,1,1,127000.0
"Givpour, Inc.",1,1,1,74000.0
"Ghs Aviation Group, Llc",1,1,1,193502.0
"G&D Mobile Security America, Inc.",1,1,1,102576.0
"Gft Infrastructure, Inc.",1,1,1,90938.0
"Geriti, Inc.",1,1,1,101421.0
Genpact Llc,1,1,1,126090.0
"Ge Energy Management Services, Llc",1,1,1,114600.0
Gap Inc.,1,1,1,164403.0
Galaxy Digital Services Llc,1,1,1,115000.0
Gait Solutions Llc,1,1,1,155938.0
Gainwell Technologies Llc,1,1,1,118310.0
Gaea Group Llc,1,1,1,60000.0
Finitetek Inc,1,1,1,101421.0
Federal Resources Corporation,1,1,1,89981.0
Intuites Llc,1,1,1,126880.0
"Enternet Business Systems, Inc.",1,1,1,126250.0
"Equinix, Inc.",1,1,1,153088.0
Equimine Inc,1,1,1,146000.0
Equifax Inc.,1,1,1,127684.0
Epsilon Data Management Llc,1,1,1,128294.0
"Epromptus, Inc.",1,1,1,126880.0
Epic It Solutions Llc,1,1,1,126100.0
Epam Systems Inc.,1,1,1,130000.0
"Environmental Systems Research Institute, Inc.",1,1,1,114400.0
Enterprise64,1,1,1,125000.0
"Ensono, Inc.",1,1,1,145333.0
"Erp Global, Inc.",1,1,1,126090.0
"Ensco Rail, Inc.",1,1,1,142154.0
"Engineered Services, Inc.",1,1,1,85696.0
Energix Epc Us Llc,1,1,1,165000.0
Endurance Systems Llc,1,1,1,250000.0
Encloud Services Llc,1,1,1,126090.0
"Emsi Engineering, Inc.",1,1,1,90938.0
Emergtech Business Solutions Inc,1,1,1,91582.0
Emcoreai Llc,1,1,1,89000.0
Emaestro Technologies Inc,1,1,1,127000.0
Equitasit Inc,1,1,1,126090.0
Esimplicity Inc.,1,1,1,175427.0
Fastwatt Llc,1,1,1,126090.0
Exostar Llc,1,1,1,195510.0
"Falcon Heating & Air Conditioning, Inc.",1,1,1,80000.0
Fairfax Information Systems Llc,1,1,1,73466.0
"Faire Wholesale, Inc.",1,1,1,310000.0
Fair Isaac Corporation,1,1,1,125176.0
"F.L. Pinto Companies, Llc",1,1,1,102483.0
Express Enterprize Corporation,1,1,1,83470.0
"Experity, Inc.",1,1,1,137904.0
Experis Us Llc,1,1,1,175427.0
Exp U.S. Services Inc.,1,1,1,132092.0
Excelon Solutions Llc,1,1,1,126090.0
Esoa Technologies,1,1,1,92000.0
Evolver Llc,1,1,1,197518.0
"Evicore Healthcare Msi, Llc",1,1,1,116310.0
Eversana Life Science Services Llc,1,1,1,130811.0
"Everest Global Solutions, Inc.",1,1,1,101421.0
Etouch Systems Corporation,1,1,1,128500.0
Etekserve Inc,1,1,1,101421.0
Etech Global It Solutions Llc,1,1,1,97344.0
Eteam Inc,1,1,1,95000.0
"Essentia Health, Inc.",1,1,1,108622.0
Global Payment Holding Company,1,1,1,102569.0
Globallogic Inc.,1,1,1,112466.0
Go8 It Inc,1,1,1,118310.0
"Indelible Changes, Llc",1,1,1,93600.0
Infomatics Corp,1,1,1,115939.0
Infocons Inc,1,1,1,126090.0
Infochain Technologies Inc						,1,1,1,155000.0
"Infocepts, Llc",1,1,1,193500.0
"Info Services, Llc",1,1,1,160000.0
Infinite Gateway Inc.,1,1,1,104400.0
"Infera Health, Inc.",1,1,1,126090.0
"Indus Valley Consultants, Inc.",1,1,1,88462.0
Indus Group Inc.,1,1,1,90000.0
"Incedo, Inc.",1,1,1,91582.0
Information Unlimited Inc.,1,1,1,96990.0
Inbound Partners-Llc,1,1,1,126090.0
Immigration Law Office Of Saleem Gondel Esq Llc,1,1,1,74922.0
"Immigrants First, Pllc.",1,1,1,220000.0
Img Systems Inc,1,1,1,126090.0
Ilogixedge Llc,1,1,1,101421.0
"Ilogic Tek , L.L.C",1,1,1,126090.0
"Idol Soft, Inc.",1,1,1,155938.0
Identity And Access Solutions Llc,1,1,1,205000.0
"Idea Entity, Llc",1,1,1,133349.0
"Infor (Us), Llc",1,1,1,177250.0
"Infospan, Inc.",1,1,1,87360.0
"Goal Group, Llc",1,1,1,126090.0
Intalent Llc,1,1,1,126100.0
"International Title & Escrow, Inc.",1,1,1,111738.0
International Investing Group Inc,1,1,1,77106.0
Intensify Technologies Inc.,1,1,1,124717.0
"Intellitek, Inc.",1,1,1,131040.0
Intellectt Inc,1,1,1,126090.0
Intel Corporation ,1,1,1,126090.0
"Integritypro Consulting, Llc",1,1,1,230000.0
Integration Developer Network Llc,1,1,1,126090.0
Integrated Technology Strategies Inc.,1,1,1,104000.0
Insurity Llc,1,1,1,144251.0
Infotech Prism Llc,1,1,1,126090.0
"Inspire Resources, Llc",1,1,1,134450.0
"Insight Direct Usa, Inc.",1,1,1,
"Inseer, Inc.",1,1,1,115939.0
Inrika Inc,1,1,1,115939.0
"Inovalon, Inc. ",1,1,1,191562.0
Innovative Dynamic Solutions Global Inc,1,1,1,120000.0
Innovaccer Inc.,1,1,1,180000.0
Inhand Networks Inc.,1,1,1,186667.0
"Infovision, Inc.",1,1,1,114000.0
"Id.Me, Inc.",1,1,1,139050.0
Ics Global Soft Inc,1,1,1,101421.0
"Icore Infotech, Inc.",1,1,1,127200.0
"Gumgum, Inc.",1,1,1,172000.0
Healthy Labs Inc.,1,1,1,155000.0
"Hdr Architecture, Inc.",1,1,1,132621.0
"Haus Analytics, Inc.",1,1,1,195000.0
Harvey Nash Inc.,1,1,1,151840.0
Harvey Ai Corporation,1,1,1,175427.0
"Happy Money, Inc.",1,1,1,119600.0
"Haley & Aldrich, Inc.",1,1,1,100000.0
Hadiamondstar Software Solutions Llc,1,1,1,126090.0
"Gusto, Inc.",1,1,1,255000.0
"Gtt, Llc",1,1,1,101650.0
Iconsoft Inc.,1,1,1,151000.0
Gstate Consulting Llc,1,1,1,88462.0
"Gss Infotech Ct, Inc",1,1,1,106933.0
"Gregory P. Luth & Associates, Inc.",1,1,1,130000.0
Greenbyte Technologies Llc,1,1,1,98000.0
Graduate Management Admission Council,1,1,1,79934.0
"Gra, Incorporated",1,1,1,171029.0
"Government Scientific Source, Inc",1,1,1,101421.0
Gogreen Solutions Inc,1,1,1,88462.0
"Goel And Anderson, Llc",1,1,1,133000.0
"Helios Artificial Intelligence, Inc.",1,1,1,115939.0
"Here North America, Llc",1,1,1,106442.0
"Hermitage Info Tech, Llc.",1,1,1,106912.0
"Hiddenlayer, Inc.",1,1,1,185000.0
Iconicit Systems Inc,1,1,1,88462.0
Iclean Air Products Llc,1,1,1,78000.0
I5 Tech Inc,1,1,1,126100.0
Hyperwater Inc,1,1,1,126090.0
Hyperion Technologies Llc,1,1,1,107661.0
Hylan Mid-Atlantic Llc,1,1,1,161158.0
"Hydrogeologic, Inc.",1,1,1,83803.0
"Hubspot, Inc.",1,1,1,165500.0
Hsf Affiliates Llc,1,1,1,139500.0
Horizon It Inc,1,1,1,126090.0
Honeywell International Inc.,1,1,1,161000.0
"Honest Pet, Inc.",1,1,1,106442.0
Homedesign Inc,1,1,1,84802.0
Home Depot Management Company Llc,1,1,1,93358.0
Hitt Contracting Inc.,1,1,1,140000.0
Hitek Staffing Llc,1,1,1,84000.0
Hiteck Solutions Inc.,1,1,1,105000.0
Hilton Domestic Operating Company Inc.,1,1,1,182300.0
Highway Loss Data Institute,1,1,1,104027.0
Zymo Solutions Llc,1,1,1,118310.0
